Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
107	67	0	1.57521448	3.24127078e+11	3.13786354e+11	2.95078173e+11	3.24127078e+11	2.9048905e+10	7.37232419e+09	0	0	0	0	3
108	67	0	1.58993611	3.24288302e+11	3.14645476e+11	2.96845346e+11	3.24288302e+11	2.74429555e+10	7.37232419e+09	0	0	0	0	3
109	68	0	1.60465774	3.24444881e+11	3.15457227e+11	2.98453756e+11	3.24444881e+11	2.59911245e+10	7.37232419e+09	0	0	0	0	3
110	68	0	1.61937938	3.2450225e+11	3.16223359e+11	3.00047656e+11	3.2450225e+11	2.44545947e+10	7.37232419e+09	0	0	0	0	3
111	69	0	1.63410101	3.24499501e+11	3.16942531e+11	3.01485567e+11	3.2450225e+11	2.30166832e+10	7.37232419e+09	0	0	0	0	3
112	69	0	1.64882264	3.2463685e+11	3.17623451e+11	3.02871304e+11	3.2463685e+11	2.17655457e+10	7.37232419e+09	0	0	0	0	3
113	70	0	1.66354427	3.24702991e+11	3.18265559e+11	3.04199752e+11	3.24702991e+11	2.0503239e+10	7.37232419e+09	0	0	0	0	3
114	71	0	1.6782659	3.24754385e+11	3.18870107e+11	3.05561758e+11	3.24754385e+11	1.91926272e+10	7.37232419e+09	0	0	0	0	3
115	71	0	1.69298753	3.24736259e+11	3.19434063e+11	3.06965295e+11	3.24754385e+11	1.77890898e+10	7.37232419e+09	0	0	0	0	3
116	72	0	1.70770916	3.24852202e+11	3.19960149e+11	3.08362252e+11	3.24852202e+11	1.64899499e+10	7.37232419e+09	0	0	0	0	3
117	72	0	1.72243079	3.24890678e+11	3.20446279e+11	3.09692981e+11	3.24890678e+11	1.51976965e+10	7.37232419e+09	0	0	0	0	3
118	73	0	1.73715242	3.25078916e+11	3.20898806e+11	3.11039893e+11	3.25078916e+11	1.40390236e+10	7.37232419e+09	0	0	0	0	3
119	73	0	1.75187405	3.25175991e+11	3.21314574e+11	3.12122183e+11	3.25175991e+11	1.30538078e+10	7.37232419e+09	0	0	0	0	3
120	74	0	1.76659568	3.25438903e+11	3.21706242e+11	3.13175838e+11	3.25438903e+11	1.22630643e+10	7.37232419e+09	0	0	0	0	3
121	74	0	1.78131731	3.25794028e+11	3.22077365e+11	3.14219958e+11	3.25794028e+11	1.15740698e+10	7.37232419e+09	0	0	0	0	3
122	75	0	1.79603894	3.26014706e+11	3.2242427e+11	3.15149736e+11	3.26014706e+11	1.08649698e+10	7.37232419e+09	0	0	0	0	3
123	75	0	1.81076057	3.2628125e+11	3.22751667e+11	3.15967553e+11	3.2628125e+11	1.03136969e+10	7.37232419e+09	0	0	0	0	3
124	76	0	1.8254822	3.26519277e+11	3.23062012e+11	3.16737409e+11	3.26519277e+11	9.78186796e+09	7.37232419e+09	0	0	0	0	3
125	76	0	1.84020384	3.26683919e+11	3.23354556e+11	3.17378752e+11	3.26683919e+11	9.30516681e+09	7.37232419e+09	0	0	0	0	3
126	77	0	1.85492547	3.2684842e+11	3.23633076e+11	3.17978522e+11	3.2684842e+11	8.86989859e+09	7.37232419e+09	0	0	0	0	3
127	78	0	1.8696471	3.26929045e+11	3.23896327e+11	3.18581725e+11	3.26929045e+11	8.34732063e+09	7.37232419e+09	0	0	0	0	3
128	78	0	1.88436873	3.27115142e+11	3.2414731e+11	3.19149885e+11	3.27115142e+11	7.96525686e+09	7.37232419e+09	0	0	0	0	3
129	79	0	1.89909036	3.27164895e+11	3.24383045e+11	3.19697073e+11	3.27164895e+11	7.46782182e+09	7.37232419e+09	0	0	0	0	3
130	79	0	1.91381199	3.27244745e+11	3.24605036e+11	3.20335932e+11	3.27244745e+11	6.90881364e+09	7.37232419e+09	0	0	0	0	3
131	80	0	1.92853362	3.27287898e+11	3.24809505e+11	3.20906861e+11	3.27287898e+11	6.38103669e+09	7.37232419e+09	0	0	0	0	3
132	80	0	1.94325525	3.27340717e+11	3.24998736e+11	3.21361302e+11	3.27340717e+11	5.97941508e+09	7.37232419e+09	0	0	0	0	3
133	81	0	1.95797688	3.27338236e+11	3.25174528e+11	3.21827096e+11	3.27340717e+11	5.51362161e+09	7.37232419e+09	0	0	0	0	3
134	81	0	1.97269851	3.2736698e+11	3.25337466e+11	3.22314453e+11	3.2736698e+11	5.05252713e+09	7.37232419e+09	0	0	0	0	3
135	82	0	1.98742014	3.27395596e+11	3.25486912e+11	3.2278724e+11	3.27395596e+11	4.60835633e+09	7.37232419e+09	0	0	0	0	3
