Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
88	56	0	1.2955035	4.41182632e-05	-0.000105416508	-0.00161381802	0.00103362997	0.00222653128	15.9908668	0	0	0	0	3
89	56	0	1.31022513	0.000716211882	-8.23698447e-05	-0.00161381802	0.00103362997	0.00195584694	15.9757717	0	0	0	0	3
90	57	0	1.32494676	0.00102313059	-4.14171913e-05	-0.00161381802	0.00103362997	0.00133271652	15.973204	0	0	0	0	3
91	57	0	1.33966839	-8.80417272e-05	-4.82142487e-05	-0.00161381802	0.00103362997	0.000626246927	16.1316027	0	0	0	0	3
92	58	0	1.35439002	0.000952699781	-1.4399219e-05	-0.00161381802	0.00103362997	0.000532427768	16.1260398	0	0	0	0	3
93	58	0	1.36911165	0.000208430428	1.60948252e-06	-0.00161381802	0.00103362997	0.000532427768	16.1291882	0	0	0	0	3
94	59	0	1.38383328	0.000617349682	2.28962484e-05	-0.00161381802	0.00103362997	0.000532427768	16.1337108	0	0	0	0	3
95	59	0	1.39855492	-0.000730220285	3.05304282e-05	-0.00161381802	0.00103362997	0.00052230158	16.1176025	0	0	0	0	3
96	60	0	1.41327655	-0.00117246576	5.08617632e-06	-0.00161381802	0.00103362997	0.00052230158	16.2904722	0	0	0	0	3
97	60	0	1.42799818	2.30596794e-05	-6.49556437e-06	-0.00161381802	0.00103362997	0.00052230158	16.2888699	0	0	0	0	3
98	61	0	1.44271981	0.00161045896	3.71791012e-05	-0.00161381802	0.00161045896	0.00052230158	16.2921985	0	0	0	0	3
99	62	0	1.45744144	0.00113361489	4.86535234e-05	-0.00161381802	0.00161045896	0.000517656077	16.2860455	0	0	0	0	3
100	62	0	1.47216307	0.000917668957	6.89012023e-05	-0.00161381802	0.00161045896	0.000517656077	16.2807368	0	0	0	0	3
101	63	0	1.4868847	-0.00287322898	-4.08377061e-05	-0.00287322898	0.00161045896	0.000494245469	16.2701236	0	0	0	0	3
102	64	0	1.50160633	0.00066907616	-1.72344046e-05	-0.00287322898	0.00161045896	0.000490301899	16.277595	0	0	0	0	3
103	64	0	1.51632796	-0.00133814804	-6.98168562e-05	-0.00287322898	0.00161045896	0.000469118053	16.0957578	0	0	0	0	3
104	65	0	1.53104959	-0.00486510051	-0.000208595518	-0.00486510051	0.00161045896	0.000421827785	16.2719606	0	0	0	0	3
105	66	0	1.54577122	-0.00185125829	-0.000248126529	-0.00486510051	0.00161045896	0.000406380755	16.2684836	0	0	0	0	3
106	66	0	1.56049285	-0.00252669335	-0.00030888014	-0.00486510051	0.00161045896	0.000406380755	16.0966359	0	0	0	0	3
107	67	0	1.57521448	-0.0076153	-0.000515144976	-0.0076153	0.00161045896	0.000584046178	16.2688064	0	0	0	0	3
108	67	0	1.58993611	-0.00686802607	-0.000674833057	-0.0076153	0.00161045896	0.000743734259	15.7824336	0	0	0	0	3
109	68	0	1.60465774	-0.00673073509	-0.000825330617	-0.0076153	0.00161045896	0.00089423182	15.8014034	0	0	0	0	3
110	68	0	1.61937938	-0.0062872322	-0.000977305053	-0.0076153	0.00161045896	0.00104620626	15.7935341	0	0	0	0	3
111	69	0	1.63410101	-0.0128209335	-0.00134674095	-0.0128209335	0.00161045896	0.00141564215	15.9510584	0	0	0	0	3
112	69	0	1.64882264	-0.00539328532	-0.00149522799	-0.0128209335	0.00161045896	0.00156412919	15.9443219	0	0	0	0	3
113	70	0	1.66354427	-0.00514380673	-0.00163584582	-0.0128209335	0.00161045896	0.00170474702	15.9368269	0	0	0	0	3
114	71	0	1.6782659	-0.00380026	-0.00173490176	-0.0128209335	0.00161045896	0.00180380296	15.9340319	0	0	0	0	3
115	71	0	1.69298753	-0.00532274721	-0.00188039875	-0.0128209335	0.00161045896	0.00194929995	15.9139884	0	0	0	0	3
116	72	0	1.70770916	-0.00559708841	-0.00204768445	-0.0128209335	0.00161045896	0.00211658565	15.9140702	0	0	0	0	3
117	72	0	1.72243079	-0.00174687853	-0.00210928074	-0.0128209335	0.00161045896	0.00217818194	16.0698915	0	0	0	0	3
118	73	0	1.73715242	0.00180724434	-0.0020779955	-0.0128209335	0.00180724434	0.00217818194	16.0865794	0	0	0	0	3
119	73	0	1.75187405	0.00031107929	-0.00208916828	-0.0128209335	0.00180724434	0.00217818194	16.0860497	0	0	0	0	3
120	74	0	1.76659568	0.00381730475	-0.00200729549	-0.0128209335	0.00381730475	0.00217818194	16.1152079	0	0	0	0	3
121	74	0	1.78131731	0.00209909238	-0.00196532088	-0.0128209335	0.00381730475	0.00217818194	15.9773933	0	0	0	0	3
122	75	0	1.79603894	0.00177169944	-0.00191450967	-0.0128209335	0.00381730475	0.00217818194	16.1602166	0	0	0	0	3
123	75	0	1.81076057	0.00323011217	-0.00184057143	-0.0128209335	0.00381730475	0.00217818194	16.164085	0	0	0	0	3
124	76	0	1.8254822	0.00333956246	-0.00177244108	-0.0128209335	0.00381730475	0.00217818194	16.1677125	0	0	0	0	3
